player_name,archetype_magicgg,mainboard,sideboard
Guglielmo Lupi,Mono-Green Landfall,1 Cavern of Souls; 4 Earthbender Ascension; 3 Mightform Harmonizer; 4 Esper Origins; 4 Meltstrider's Resolve; 4 Escape Tunnel; 2 Dragon Sniper; 4 Ba Sing Se; 4 Sazh's Chocobo; 4 Icetill Explorer; 4 Llanowar Elves; 1 Edge Rover; 4 Badgermole Cub; 4 Fabled Passage; 13 Forest,1 Mightform Harmonizer; 1 Pawpatch Formation; 2 Royal Treatment; 1 Cavern of Souls; 3 Soul-Guide Lantern; 4 Mossborn Hydra; 1 Edge Rover; 2 Sapling Nursery
Nicolás Morales Macaya,Mono-Green Landfall,2 Esper Origins; 2 Promising Vein; 4 Earthbender Ascension; 4 Mightform Harmonizer; 1 Archdruid's Charm; 2 Meltstrider's Resolve; 3 Escape Tunnel; 4 Keen-Eyed Curator; 1 Royal Treatment; 4 Sazh's Chocobo; 3 Ba Sing Se; 4 Llanowar Elves; 4 Icetill Explorer; 4 Badgermole Cub; 4 Fabled Passage; 14 Forest,"2 Surrak, Elusive Hunter; 1 Origin of Metalbending; 2 Meltstrider's Resolve; 2 Pawpatch Formation; 4 Sapling Nursery; 3 Mossborn Hydra; 1 Eumidian Terrabotanist"
Edgar Magalhaes,Izzet Prowess,7 Island; 4 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 4 Boomerang Basics; 1 Get Out; 4 Flow State; 2 Impractical Joke; 2 Multiversal Passage; 2 Spell Pierce; 2 Stock Up; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 4 Slickshot Show-Off,1 Disdainful Stroke; 1 Annul; 2 Slagstorm; 2 Get Out; 1 Sear; 2 Roaring Furnace // Steaming Sauna; 2 The Legend of Kuruk; 2 Sunderflock; 1 Spell Snare; 1 Negate
Horiuchi Makoto,Izzet Prowess,6 Island; 4 Opt; 2 Eddymurk Crab; 4 Stormchaser's Talent; 4 Burst Lightning; 2 Torch the Tower; 4 Boomerang Basics; 2 Colorstorm Stallion; 1 Roaring Furnace // Steaming Sauna; 4 Flow State; 3 Multiversal Passage; 1 Quantum Riddler; 2 Prismari Charm; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 4 Slickshot Show-Off; 1 Get Out,"1 Annul; 2 Ghost Vacuum; 2 Roaring Furnace // Steaming Sauna; 2 Spell Pierce; 2 Ral, Crackling Wit; 1 Abrade; 1 Quantum Riddler; 2 Fire Magic; 1 Get Out; 1 Soul-Guide Lantern"
Seth Manfield,Izzet Prowess,7 Island; 4 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 4 Boomerang Basics; 2 Get Out; 4 Flow State; 2 Impractical Joke; 2 Multiversal Passage; 2 Spell Pierce; 1 Stock Up; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 4 Slickshot Show-Off,1 Disdainful Stroke; 1 Annul; 1 Get Out; 2 Slagstorm; 1 Sear; 1 Roaring Furnace // Steaming Sauna; 1 Stock Up; 1 Soul-Guide Lantern; 2 The Legend of Kuruk; 2 Sunderflock; 1 Spell Snare; 1 Negate
Rafael Marin,Izzet Lessons,6 Island; 4 Gran-Gran; 4 Eddymurk Crab; 4 Stormchaser's Talent; 1 Stormcarved Coast; 1 Great Hall of the Biblioplex; 4 Boomerang Basics; 1 Roaring Furnace // Steaming Sauna; 4 Combustion Technique; 3 Flow State; 1 Iroh's Demonstration; 2 Multiversal Passage; 4 Firebending Lesson; 4 Accumulate Wisdom; 3 Abandon Attachments; 4 Riverpyre Verge; 2 It'll Quench Ya!; 4 Steam Vents; 4 Spirebluff Canal,"1 Slagstorm; 2 Get Out; 1 Ghost Vacuum; 1 Roaring Furnace // Steaming Sauna; 2 Spell Pierce; 2 Ral, Crackling Wit; 2 Emeritus of Ideation; 1 Fire Magic; 3 Sunderflock"
Carlos Martinez,Dimir Midrange,"4 Spyglass Siren; 4 Dream Beavers; 4 Floodpits Drowner; 2 Deep-Cavern Bat; 3 Tishana's Tidebinder; 2 Preacher of the Schism; 3 Enduring Curiosity; 1 Wan Shi Tong, Librarian; 4 Kaito, Bane of Nightmares; 1 Phantom Interference; 1 Spell Snare; 3 Requiting Hex; 2 Bitter Triumph; 2 Shoot the Sheriff; 2 Soulstone Sanctuary; 2 Starting Town; 2 Restless Reef; 3 Swamp; 3 Island; 4 Gloomlake Verge; 4 Watery Grave; 4 Multiversal Passage",2 Annul; 1 Spell Pierce; 2 Duress; 1 Requiting Hex; 1 Soul-Guide Lantern; 1 Essence Scatter; 2 Disdainful Stroke; 1 Strategic Betrayal; 1 The Unagi of Kyoshi Island; 2 Day of Black Sun; 1 The Ooze
Toni Martos,Izzet Prowess,7 Island; 4 Eddymurk Crab; 4 Opt; 2 Traumatic Critique; 4 Stormchaser's Talent; 4 Burst Lightning; 1 Stormcarved Coast; 4 Boomerang Basics; 3 Colorstorm Stallion; 2 Get Out; 3 Flow State; 1 Multiversal Passage; 2 Spell Pierce; 2 Prismari Charm; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 1 Vibrant Outburst,"2 Wan Shi Tong, Librarian; 1 Annul; 1 Get Out; 1 Three Steps Ahead; 2 Ghost Vacuum; 1 Sear; 2 Impractical Joke; 1 Roaring Furnace // Steaming Sauna; 1 Soul-Guide Lantern; 1 Ral, Crackling Wit; 1 Negate; 1 Broadside Barrage"
Adrià Martín,Rakdos Discard,"4 Moonshadow; 4 Iron-Shield Elf; 4 Monument to Endurance; 4 Blood Crypt; 4 Bloodthorn Flail; 3 Casey Jones, Vigilante; 4 Cool but Rude; 4 Marauding Mako; 2 Requiting Hex; 4 Mountain; 2 Swamp; 1 Greasewrench Goblin; 2 Bloodghast; 4 Multiversal Passage; 2 Bitter Triumph; 2 Starting Town; 4 Flamewake Phoenix; 1 Oscorp Industries; 1 Restless Vents; 4 Blazemire Verge",1 Vengeful Possession; 1 Soul-Guide Lantern; 2 Pyroclasm; 3 Magebane Lizard; 4 Strategic Betrayal; 1 Requiting Hex; 3 Sunspine Lynx
Kenta Masukado,Izzet Spellementals,4 Sunderflock; 2 Thundering Falls; 4 Eddymurk Crab; 4 Opt; 2 Three Steps Ahead; 4 Burst Lightning; 4 Traumatic Critique; 1 Great Hall of the Biblioplex; 3 Winternight Stories; 2 Get Out; 4 Island; 1 Multiversal Passage; 1 Spell Snare; 4 Hearth Elemental; 4 Riverpyre Verge; 4 Prismari Charm; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,"1 Disdainful Stroke; 2 Hydro-Man, Fluid Felon; 4 Colorstorm Stallion; 1 Ghost Vacuum; 1 Cavern of Souls; 2 Annul; 2 Soul-Guide Lantern; 1 Spell Snare; 1 Broadside Barrage"
Spencer Mazur,Mono-Green Landfall,4 Earthbender Ascension; 3 Mightform Harmonizer; 1 Archdruid's Charm; 4 Escape Tunnel; 2 Meltstrider's Resolve; 4 Sapling Nursery; 2 Royal Treatment; 4 Ba Sing Se; 4 Sazh's Chocobo; 1 Keen-Eyed Curator; 4 Llanowar Elves; 4 Icetill Explorer; 4 Badgermole Cub; 4 Fabled Passage; 1 Emeritus of Abundance; 14 Forest,"1 Scrapshooter; 2 Meltstrider's Resolve; 1 Surrak, Elusive Hunter; 2 Pawpatch Formation; 1 Soul-Guide Lantern; 1 Keen-Eyed Curator; 4 Mossborn Hydra; 3 Eumidian Terrabotanist"
Gavin Meagher,Mardu Discard,"4 Concealed Courtyard; 2 Erode; 2 Inspiring Vantage; 4 Iron-Shield Elf; 3 Burst Lightning; 1 Cecil, Dark Knight; 4 Starting Town; 4 Practiced Offense; 1 Mountain; 1 Shardmage's Rescue; 1 Multiversal Passage; 4 Moonshadow; 4 Hardened Academic; 4 Marauding Mako; 4 Sacred Foundry; 4 Cool but Rude; 1 Blazemire Verge; 3 Tersa Lightshatter; 4 Bloodghast; 4 Blood Crypt; 1 Godless Shrine","1 Inti, Seneschal of the Sun; 2 Strategic Betrayal; 1 Seam Rip; 1 Shoot the Sheriff; 2 Case of the Crimson Pulse; 1 Erode; 3 Voice of Victory; 4 Leyline of the Void"
Jonathan Melamed,Mono-Green Landfall,3 Ba Sing Se; 4 Badgermole Cub; 1 Demolition Field; 4 Earthbender Ascension; 4 Escape Tunnel; 3 Esper Origins; 4 Fabled Passage; 14 Forest; 4 Icetill Explorer; 3 Keen-Eyed Curator; 4 Llanowar Elves; 3 Meltstrider's Resolve; 4 Mightform Harmonizer; 1 Royal Treatment; 4 Sazh's Chocobo,"1 Meltstrider's Resolve; 4 Mossborn Hydra; 1 Origin of Metalbending; 2 Pawpatch Formation; 3 Sapling Nursery; 1 Scrapshooter; 2 Surrak, Elusive Hunter; 1 Sandman, Shifting Scoundrel"
Adriano Melo,Izzet Lessons,6 Island; 4 Gran-Gran; 4 Stormchaser's Talent; 1 Stormcarved Coast; 4 Boomerang Basics; 4 Combustion Technique; 2 Mountain; 1 Iroh's Demonstration; 1 Multiversal Passage; 4 Firebending Lesson; 4 Monument to Endurance; 4 Accumulate Wisdom; 4 Abandon Attachments; 4 Riverpyre Verge; 1 It'll Quench Ya!; 4 Artist's Talent; 4 Steam Vents; 4 Spirebluff Canal,"1 Disdainful Stroke; 1 Annul; 1 Impractical Joke; 1 Iroh's Demonstration; 1 Ghost Vacuum; 2 Spell Pierce; 2 Ral, Crackling Wit; 1 Pyroclasm; 2 Flashfreeze; 1 Fire Magic; 1 Spell Snare; 1 Broadside Barrage"
Guilherme Merjam,Mono-Green Landfall,1 Promising Vein; 4 Earthbender Ascension; 4 Mightform Harmonizer; 4 Meltstrider's Resolve; 2 Esper Origins; 4 Keen-Eyed Curator; 4 Sazh's Chocobo; 3 Ba Sing Se; 4 Fabled Passage; 4 Icetill Explorer; 4 Llanowar Elves; 4 Escape Tunnel; 14 Forest; 4 Badgermole Cub,1 Archdruid's Charm; 2 Pawpatch Formation; 4 Mossborn Hydra; 2 Eumidian Terrabotanist; 4 Sapling Nursery; 2 Royal Treatment
Suorsa Miitri,Izzet Lessons,4 Abandon Attachments; 4 Accumulate Wisdom; 1 Agna Qel'a; 4 Artist's Talent; 4 Combustion Technique; 4 Firebending Lesson; 4 Gran-Gran; 3 Iroh's Demonstration; 7 Island; 4 It'll Quench Ya!; 4 Monument to Endurance; 1 Mountain; 4 Riverpyre Verge; 4 Spirebluff Canal; 4 Steam Vents; 1 Stormcarved Coast; 2 Three Steps Ahead; 1 Traumatic Critique,"1 Annul; 2 Broadside Barrage; 1 Ghost Vacuum; 4 Price of Freedom; 2 Quantum Riddler; 1 Ral, Crackling Wit; 1 Soul-Guide Lantern; 2 Spell Pierce; 1 The Legend of Kuruk"
Aidan Mirabelli,Izzet Prowess,7 Island; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 2 Bounce Off; 4 Boomerang Basics; 4 Colorstorm Stallion; 3 Secret Identity; 2 Flow State; 2 Multiversal Passage; 2 Drake Hatcher; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 2 Vibrant Outburst; 4 Slickshot Show-Off,"1 Disdainful Stroke; 2 Slagstorm; 2 Get Out; 2 Flow State; 1 Sear; 2 Spell Pierce; 2 Into the Flood Maw; 2 Drake Hatcher; 1 Ral, Crackling Wit"
Ryouta Mishina,Izzet Prowess,2 Willowrush Verge; 4 Opt; 4 Elusive Otter; 4 Stormchaser's Talent; 4 Burst Lightning; 4 Boomerang Basics; 2 Colorstorm Stallion; 1 Roaring Furnace // Steaming Sauna; 2 Secret Identity; 4 Island; 3 Flow State; 1 Wild Ride; 3 Multiversal Passage; 2 Stock Up; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 4 Slickshot Show-Off,"2 Eddymurk Crab; 1 Splatter Technique; 1 Slagstorm; 2 Get Out; 1 Impractical Joke; 2 Ghost Vacuum; 1 Roaring Furnace // Steaming Sauna; 2 Spell Pierce; 1 Ral, Crackling Wit; 2 Broadside Barrage"
Jacob Mitchell-Rabaey,Izzet Prowess,7 Island; 4 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 2 Traumatic Critique; 4 Burst Lightning; 1 Stormcarved Coast; 1 Great Hall of the Biblioplex; 4 Boomerang Basics; 4 Colorstorm Stallion; 2 Get Out; 4 Flow State; 1 Impractical Joke; 1 Sear; 1 Spell Pierce; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,"1 Flashfreeze; 1 Annul; 1 Slagstorm; 2 Hearth Elemental; 1 Ghost Vacuum; 2 Ral, Crackling Wit; 1 Soul-Guide Lantern; 1 Spell Pierce; 2 Broadside Barrage; 3 Sunderflock"
Pedro Molina,Mono-Green Landfall,4 Mightform Harmonizer; 4 Earthbender Ascension; 3 Ba Sing Se; 14 Forest; 4 Sazh's Chocobo; 4 Keen-Eyed Curator; 4 Badgermole Cub; 4 Llanowar Elves; 4 Icetill Explorer; 1 Promising Vein; 2 Esper Origins; 4 Fabled Passage; 4 Escape Tunnel; 4 Meltstrider's Resolve,"2 Pawpatch Formation; 4 Sapling Nursery; 2 Torpor Orb; 2 Surrak, Elusive Hunter; 2 Origin of Metalbending; 3 Mossborn Hydra"
Vasilios Morikis,Izzet Prowess,4 Eddymurk Crab; 7 Island; 4 Boomerang Basics; 4 Burst Lightning; 4 Opt; 4 Sleight of Hand; 4 Flow State; 1 Great Hall of the Biblioplex; 4 Stormchaser's Talent; 2 Spell Pierce; 4 Riverpyre Verge; 4 Spirebluff Canal; 4 Steam Vents; 1 Soul-Guide Lantern; 2 Traumatic Critique; 1 Multiversal Passage; 4 Colorstorm Stallion; 2 Get Out,"1 Impractical Joke; 1 Negate; 1 Disdainful Stroke; 1 Get Out; 1 Annul; 1 Sear; 1 Roaring Furnace // Steaming Sauna; 2 Ral, Crackling Wit; 2 Broadside Barrage; 2 Soul-Guide Lantern; 1 Slagstorm; 1 Sunderflock"
Masahide Moriyama,Izzet Spellementals,3 Sunderflock; 2 Thundering Falls; 5 Island; 4 Eddymurk Crab; 4 Opt; 2 Three Steps Ahead; 4 Burst Lightning; 4 Traumatic Critique; 2 Great Hall of the Biblioplex; 2 Get Out; 3 Winternight Stories; 1 Spell Pierce; 4 Hearth Elemental; 4 Riverpyre Verge; 4 Prismari Charm; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,"1 Disdainful Stroke; 2 Hydro-Man, Fluid Felon; 4 Colorstorm Stallion; 1 Ill-Timed Explosion; 2 Annul; 1 Ral, Crackling Wit; 2 Soul-Guide Lantern; 1 Spell Snare; 1 Broadside Barrage"
Pier Paolo Moro,Izzet Lessons,"7 Island; 4 Gran-Gran; 4 Stormchaser's Talent; 2 Ral, Crackling Wit; 4 Boomerang Basics; 1 Roaring Furnace // Steaming Sauna; 4 Combustion Technique; 4 Flow State; 2 Iroh's Demonstration; 3 Multiversal Passage; 4 Firebending Lesson; 4 Accumulate Wisdom; 3 Abandon Attachments; 1 The Legend of Kuruk; 4 Riverpyre Verge; 1 It'll Quench Ya!; 4 Steam Vents; 4 Spirebluff Canal",1 Disdainful Stroke; 1 Flashfreeze; 3 Roaring Furnace // Steaming Sauna; 2 Spell Pierce; 2 Ill-Timed Explosion; 2 Annul; 1 Emeritus of Ideation; 2 It'll Quench Ya!; 1 Negate
Collins Mullen,Mono-Green Landfall,1 Promising Vein; 4 Earthbender Ascension; 4 Mightform Harmonizer; 4 Meltstrider's Resolve; 4 Esper Origins; 4 Escape Tunnel; 2 Sapling Nursery; 4 Sazh's Chocobo; 3 Ba Sing Se; 4 Icetill Explorer; 4 Llanowar Elves; 4 Badgermole Cub; 4 Fabled Passage; 14 Forest,"3 Surrak, Elusive Hunter; 2 Pawpatch Formation; 2 Royal Treatment; 1 Glorious Decay; 3 Soul-Guide Lantern; 4 Mossborn Hydra"
Ryan Mullens,Izzet Prowess,7 Island; 4 Eddymurk Crab; 4 Opt; 1 Traumatic Critique; 4 Stormchaser's Talent; 4 Burst Lightning; 2 Stormcarved Coast; 3 Boomerang Basics; 2 Get Out; 3 Colorstorm Stallion; 2 Roaring Furnace // Steaming Sauna; 4 Flow State; 2 Spell Pierce; 1 Stock Up; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 1 Vibrant Outburst,1 Annul; 1 Slagstorm; 1 Get Out; 1 Torpor Orb; 1 Impractical Joke; 1 Sear; 1 Spider-Sense; 2 Soul-Guide Lantern; 1 Spell Pierce; 1 Negate; 2 Broadside Barrage; 2 Sunderflock
Shuhei Nakamura,Sultai Control,"1 Swamp; 3 Withering Curse; 4 Starting Town; 2 Quandrix Charm; 1 Underground Mortuary; 1 Wistfulness; 1 Analyze the Pollen; 1 Dreamroot Cascade; 4 Deceit; 3 Awaken the Honored Dead; 1 Island; 1 Black Cat, Cunning Thief; 4 Superior Spider-Man; 1 Multiversal Passage; 4 Wastewood Verge; 4 Rakshasa's Bargain; 2 Undercity Sewers; 4 Overgrown Tomb; 2 Shoot the Sheriff; 2 Requiting Hex; 4 Watery Grave; 2 Witherbloom Charm; 4 Ancient Cornucopia; 1 Gloomlake Verge; 3 Emeritus of Ideation","1 Bitter Triumph; 1 Disdainful Stroke; 2 Negate; 3 Strategic Betrayal; 2 Pest Control; 2 Keen-Eyed Curator; 1 Cavern of Souls; 1 Black Cat, Cunning Thief; 2 Duress"
Atsushi Nakashima,Izzet Prowess,7 Island; 3 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 2 Stormcarved Coast; 4 Boomerang Basics; 2 Colorstorm Stallion; 2 Get Out; 4 Flow State; 2 Spell Pierce; 1 Shore Up; 1 Prismari Charm; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 4 Slickshot Show-Off,"1 Disdainful Stroke; 1 Colorstorm Stallion; 2 Slagstorm; 1 Impractical Joke; 2 Ghost Vacuum; 1 Sear; 1 Roaring Furnace // Steaming Sauna; 2 Ral, Crackling Wit; 1 Abrade; 1 Negate; 2 Broadside Barrage"
Bassel Nasri,Izzet Spellementals,4 Steam Vents; 4 Spirebluff Canal; 8 Island; 1 Multiversal Passage; 4 Riverpyre Verge; 4 Opt; 4 Sleight of Hand; 2 Vibrant Outburst; 4 Eddymurk Crab; 4 Hearth Elemental; 3 Sunderflock; 4 Traumatic Critique; 4 Prismari Charm; 4 Burst Lightning; 3 Winternight Stories; 1 Spell Snare; 1 Ill-Timed Explosion; 1 Get Out,"1 Spell Snare; 3 Ashling, Rekindled; 2 Annul; 2 Disdainful Stroke; 2 Emeritus of Ideation; 1 Broadside Barrage; 1 Ghost Vacuum; 1 Sear; 1 Wan Shi Tong, Librarian; 1 Get Out"
Matt Nass,Selesnya Ouroboroid,4 Hushwood Verge; 4 Sage of the Skies; 2 Meltstrider's Resolve; 4 Starting Town; 4 Abandoned Air Temple; 4 Keen-Eyed Curator; 4 Pawpatch Recruit; 4 Temple Garden; 2 Plains; 3 Seam Rip; 4 Llanowar Elves; 6 Forest; 1 Nurturing Pixie; 3 Gene Pollinator; 4 Badgermole Cub; 3 Brightglass Gearhulk; 4 Ouroboroid,3 Erode; 1 Craterhoof Behemoth; 1 Focus Fire; 1 Insidious Fungus; 3 Rest in Peace; 2 Spider Manifestation; 4 Nature's Rhythm
Richard Nealston,Mono-Green Landfall,3 Ba Sing Se; 4 Badgermole Cub; 4 Earthbender Ascension; 4 Escape Tunnel; 3 Esper Origins; 4 Fabled Passage; 4 Icetill Explorer; 2 Keen-Eyed Curator; 4 Llanowar Elves; 4 Meltstrider's Resolve; 3 Mightform Harmonizer; 1 Promising Vein; 4 Sazh's Chocobo; 14 Forest; 2 Sapling Nursery,2 Heritage Reclamation; 4 Mossborn Hydra; 2 Eumidian Terrabotanist; 1 Pawpatch Formation; 1 Sapling Nursery; 1 Royal Treatment; 2 Soul-Guide Lantern; 1 Esper Origins; 1 Torpor Orb
Kye Nelson,Golgari Midrange,4 Llanowar Elves; 4 Badgermole Cub; 3 Keen-Eyed Curator; 4 Professor Dellian Fel; 4 Requiting Hex; 2 Emeritus of Abundance; 3 Duress; 1 Bitter Triumph; 1 Shoot the Sheriff; 1 Strategic Betrayal; 1 Long Goodbye; 2 Maelstrom Pulse; 2 Firdoch Core; 4 Unholy Annex // Ritual Chamber; 3 Forest; 3 Swamp; 4 Wastewood Verge; 4 Blooming Marsh; 4 Overgrown Tomb; 2 Soulstone Sanctuary; 1 Restless Cottage; 1 Underground Mortuary; 1 Deathcap Glade; 1 Multiversal Passage,"1 Heritage Reclamation; 2 Qarsi Revenant; 1 Duress; 2 Day of Black Sun; 1 Leatherhead, Swamp Stalker; 1 Surrak, Elusive Hunter; 1 Scrapshooter; 2 Torpor Orb; 1 Intimidation Tactics; 1 Strategic Betrayal; 1 Decorum Dissertation; 1 Long Goodbye"
"Hei Wo, Johnathan Ng",Mono-Green Landfall,"2 Esper Origins; 2 Promising Vein; 4 Earthbender Ascension; 4 Mightform Harmonizer; 2 Leatherhead, Swamp Stalker; 2 Meltstrider's Resolve; 3 Escape Tunnel; 4 Keen-Eyed Curator; 4 Sazh's Chocobo; 3 Ba Sing Se; 4 Llanowar Elves; 4 Icetill Explorer; 4 Badgermole Cub; 4 Fabled Passage; 14 Forest","2 Origin of Metalbending; 2 Meltstrider's Resolve; 1 Surrak, Elusive Hunter; 2 Pawpatch Formation; 2 Archdruid's Charm; 3 Mossborn Hydra; 3 Sapling Nursery"
Truong Hai Nguyen,Izzet Maestro,2 Mistrise Village; 2 Thundering Falls; 3 Sorceress's Schemes; 3 Three Steps Ahead; 2 Willowrush Verge; 1 Abrade; 1 Hedge Maze; 3 Molten-Core Maestro; 3 Great Hall of the Biblioplex; 1 Fountainport; 4 Combustion Technique; 3 Ashling's Command; 2 Island; 4 Firebending Lesson; 1 Spell Pierce; 2 Abandon Attachments; 4 Accumulate Wisdom; 1 Stock Up; 1 Prismari Charm; 2 It'll Quench Ya!; 4 Riverpyre Verge; 4 Steam Vents; 4 Tablet of Discovery; 3 Spirebluff Canal,2 Origin of Metalbending; 2 Negate; 2 Mathemagics; 1 Ill-Timed Explosion; 2 Annul; 2 Flashfreeze; 2 Soul-Guide Lantern; 1 Spell Pierce; 1 Broadside Barrage
Gabriel Nicholas,Izzet Prowess,4 Boomerang Basics; 4 Burst Lightning; 4 Eddymurk Crab; 4 Flow State; 2 Get Out; 1 Impractical Joke; 7 Island; 1 Multiversal Passage; 4 Opt; 1 Prismari Charm; 4 Riverpyre Verge; 1 Roaring Furnace // Steaming Sauna; 4 Sleight of Hand; 4 Slickshot Show-Off; 1 Spell Pierce; 1 Spell Snare; 4 Spirebluff Canal; 4 Steam Vents; 1 Stormcarved Coast; 4 Stormchaser's Talent,"1 Annul; 2 Broadside Barrage; 1 Get Out; 1 Negate; 2 Ral, Crackling Wit; 1 Roaring Furnace // Steaming Sauna; 1 Sear; 1 Slagstorm; 2 Soul-Guide Lantern; 1 Stock Up; 2 Molten-Core Maestro"
Simon Nielsen,Mono-Green Landfall,4 Ba Sing Se; 4 Badgermole Cub; 4 Earthbender Ascension; 4 Escape Tunnel; 4 Esper Origins; 4 Fabled Passage; 13 Forest; 4 Icetill Explorer; 4 Llanowar Elves; 4 Meltstrider's Resolve; 3 Mightform Harmonizer; 1 Cavern of Souls; 4 Sazh's Chocobo; 2 Dragon Sniper; 1 Edge Rover,4 Mossborn Hydra; 2 Royal Treatment; 3 Soul-Guide Lantern; 2 Sapling Nursery; 1 Cavern of Souls; 1 Pawpatch Formation; 1 Edge Rover; 1 Mightform Harmonizer
Ma Noah,Selesnya Ouroboroid,4 Hushwood Verge; 4 Sage of the Skies; 2 Meltstrider's Resolve; 4 Starting Town; 4 Abandoned Air Temple; 4 Keen-Eyed Curator; 4 Pawpatch Recruit; 4 Temple Garden; 2 Plains; 3 Seam Rip; 4 Llanowar Elves; 6 Forest; 1 Nurturing Pixie; 3 Gene Pollinator; 4 Badgermole Cub; 3 Brightglass Gearhulk; 4 Ouroboroid,3 Erode; 1 Craterhoof Behemoth; 1 Focus Fire; 1 Insidious Fungus; 3 Rest in Peace; 2 Spider Manifestation; 4 Nature's Rhythm
Dylan Nollen,Izzet Spellementals,4 Steam Vents; 4 Spirebluff Canal; 8 Island; 1 Multiversal Passage; 4 Riverpyre Verge; 4 Opt; 4 Sleight of Hand; 2 Vibrant Outburst; 4 Eddymurk Crab; 4 Hearth Elemental; 3 Sunderflock; 4 Traumatic Critique; 4 Prismari Charm; 4 Burst Lightning; 3 Winternight Stories; 1 Spell Snare; 1 Ill-Timed Explosion; 1 Get Out,"1 Spell Snare; 3 Ashling, Rekindled; 2 Annul; 2 Disdainful Stroke; 2 Emeritus of Ideation; 1 Ill-Timed Explosion; 1 Broadside Barrage; 1 Get Out; 1 Sear; 1 Wan Shi Tong, Librarian"
Allen Norman,Mono-Green Landfall,2 Esper Origins; 1 Promising Vein; 4 Earthbender Ascension; 4 Mightform Harmonizer; 2 Archdruid's Charm; 4 Escape Tunnel; 3 Sapling Nursery; 1 Royal Treatment; 4 Sazh's Chocobo; 3 Ba Sing Se; 2 Mossborn Hydra; 4 Icetill Explorer; 4 Llanowar Elves; 4 Badgermole Cub; 4 Fabled Passage; 14 Forest,"4 Meltstrider's Resolve; 2 Surrak, Elusive Hunter; 1 Origin of Metalbending; 1 Pawpatch Formation; 2 Torpor Orb; 2 Mossborn Hydra; 2 Soul-Guide Lantern; 1 Keen-Eyed Curator"
Ryan Normandin,Mono-Green Landfall,14 Forest; 3 Ba Sing Se; 4 Llanowar Elves; 4 Fabled Passage; 1 Promising Vein; 4 Escape Tunnel; 4 Keen-Eyed Curator; 2 Esper Origins; 4 Sazh's Chocobo; 4 Icetill Explorer; 4 Meltstrider's Resolve; 4 Mightform Harmonizer; 4 Badgermole Cub; 4 Earthbender Ascension,"2 Pawpatch Formation; 3 Mossborn Hydra; 2 Heritage Reclamation; 2 Surrak, Elusive Hunter; 2 Origin of Metalbending; 4 Sapling Nursery"
Nicholas Odenheimer,Izzet Prowess,6 Island; 4 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 1 Stormcarved Coast; 1 Bounce Off; 1 Great Hall of the Biblioplex; 4 Boomerang Basics; 1 Get Out; 1 Roaring Furnace // Steaming Sauna; 4 Flow State; 1 Impractical Joke; 1 Multiversal Passage; 1 Spell Pierce; 1 Stock Up; 1 Prismari Charm; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 4 Slickshot Show-Off,"1 Disdainful Stroke; 1 Wan Shi Tong, Librarian; 1 Slagstorm; 1 Get Out; 1 Ghost Vacuum; 1 Roaring Furnace // Steaming Sauna; 2 Ral, Crackling Wit; 1 Pyroclasm; 1 Abrade; 1 Soul-Guide Lantern; 1 Spell Pierce; 1 Spell Snare; 1 Negate; 1 Broadside Barrage"
